May 07 (Tue) 15:20 |     Silent Stone - Stars Bright (Original Mix)
May 07 (Tue) 15:28 |     Big Url: - Groove Salad, Listener Suppo
May 07 (Tue) 15:28 |     ten72 - Worn
May 07 (Tue) 15:31 |     DiGitum - Document 5
May 07 (Tue) 15:37 |     Jens Buchert - Aquanaut
May 07 (Tue) 15:41 |     Euphonic Traveller - Cabrillo Hwy
May 07 (Tue) 15:51 |     Celeste Lear - Marielle's Dream (Feat. colfax)
May 07 (Tue) 15:55 |     Fila Brazillia - La Boulangerie Digitale
May 07 (Tue) 15:59 |     Bullitnuts - Rhesus Perplexus
May 07 (Tue) 16:07 |     NDE - Chillinois
May 07 (Tue) 16:13 |     Alex Cortiz - Moon Drops
May 07 (Tue) 16:18 |     Gold Lounge - I'm the One
May 07 (Tue) 16:23 |     Softwaver - Salto
May 07 (Tue) 16:27 |     Yoshinori Sunahara - 747 Dub
May 07 (Tue) 16:30 | === Logging stopped
May 16 (Thu) 12:09 | === Logging started
May 16 (Thu) 12:09 | >>> Station: SomaFM Groove Salad
May 16 (Thu) 12:09 |     Murya - Carl's Last Interview
May 16 (Thu) 12:09 |     Murya - Carl's Last Interview (LIKED)
May 16 (Thu) 12:09 | === Logging stopped
May 16 (Thu) 12:17 | === Logging started
May 16 (Thu) 12:17 | >>> Station: SomaFM Groove Salad
May 16 (Thu) 12:17 |     Baby Mammoth - Frank's Angels
May 16 (Thu) 12:17 |     Baby Mammoth - Frank's Angels (LIKED)
May 16 (Thu) 12:17 | === Logging stopped
Jun 05 (Wed) 12:28 | === Logging started
Jun 05 (Wed) 12:28 | >>> Station: SomaFM Groove Salad
Jun 05 (Wed) 12:28 |     Orb - Little Fluffy Clouds
Jun 05 (Wed) 12:28 |     Orb - Little Fluffy Clouds (LIKED)
Jun 05 (Wed) 12:28 | === Logging stopped
Jun 05 (Wed) 15:39 | === Logging started
Jun 05 (Wed) 15:39 | >>> Station: SomaFM Groove Salad
Jun 05 (Wed) 15:39 |     Alex Cortiz - Spiral Chilla- (Lift Off Two)
Jun 05 (Wed) 15:39 |     Alex Cortiz - Spiral Chilla- (Lift Off Two) (LIKED)
Jun 05 (Wed) 15:39 | === Logging stopped
Jun 18 (Tue) 09:33 | === Logging started
Jun 18 (Tue) 09:33 | >>> Station: SomaFM Groove Salad
Jun 18 (Tue) 09:33 |     Banco De Gaia - Tempra
Jun 18 (Tue) 09:33 |     Banco De Gaia - Tempra (LIKED)
Jun 18 (Tue) 09:33 | === Logging stopped
Jun 20 (Thu) 10:45 | === Logging started
Jun 20 (Thu) 10:45 | >>> Station: Groove Salad Classic (Early 2000s Ambient)
Jun 20 (Thu) 10:45 |     Air - All I Need (With Beth Hirsch)
Jun 20 (Thu) 10:45 |     Air - All I Need (With Beth Hirsch) (LIKED)
Jun 20 (Thu) 10:45 | === Logging stopped
Jun 28 (Fri) 10:02 | === Logging started
Jun 28 (Fri) 10:02 | >>> Station: Downtempo (Secret Agent - SomaFM)
Jun 28 (Fri) 10:02 |     Goblin - La Via Della Droga (Seq.13 - Finale)
